timestamp_gmt,bid_size,bid,ask,ask_size
2020-04-28 08:37:19,12920,7692.50000000,7693.00000000,30580
2020-04-28 08:37:29,16820,7692.50000000,7693.00000000,27600
2020-04-28 08:37:39,44490,7692.50000000,7693.00000000,9970
2020-04-28 08:37:49,82410,7692.50000000,7693.00000000,12070
2020-04-28 08:37:59,75820,7692.50000000,7693.00000000,14800
2020-04-28 08:38:09,72040,7692.50000000,7693.00000000,15300
2020-04-28 08:38:19,4810,7692.50000000,7693.00000000,62260
2020-04-28 08:38:29,52170,7692.50000000,7693.00000000,25310
2020-04-28 08:38:39,43080,7692.50000000,7693.00000000,11500
2020-04-28 08:38:49,42810,7692.50000000,7693.00000000,18400
2020-04-28 08:38:59,21260,7692.50000000,7693.00000000,21500
2020-04-28 08:39:09,70,7692.50000000,7693.00000000,50800
2020-04-28 08:39:19,18370,7692.50000000,7693.00000000,23100
2020-04-28 08:39:29,13020,7692.50000000,7693.00000000,29100
2020-04-28 08:39:39,13000,7692.50000000,7693.00000000,32400
2020-04-28 08:39:49,15590,7692.50000000,7693.00000000,28800
2020-04-28 08:39:59,17090,7692.50000000,7693.00000000,26600
2020-04-28 08:40:09,9390,7692.50000000,7693.00000000,34600
2020-04-28 08:40:19,13470,7692.50000000,7693.00000000,30870
2020-04-28 08:40:29,16070,7692.50000000,7693.00000000,26670
2020-04-28 08:40:39,103400,7694.50000000,7695.00000000,182010
2020-04-28 08:40:49,59010,7694.50000000,7695.00000000,183510
2020-04-28 08:40:59,59010,7694.50000000,7695.00000000,184370
2020-04-28 08:41:09,59010,7694.50000000,7695.00000000,184370
2020-04-28 08:41:19,17340,7694.50000000,7695.00000000,184370
2020-04-28 08:41:29,12030,7694.50000000,7695.00000000,184370
2020-04-28 08:41:39,40530,7694.50000000,7695.00000000,184370
2020-04-28 08:41:49,19630,7694.50000000,7695.00000000,188210
2020-04-28 08:41:59,18930,7694.50000000,7695.00000000,184370
2020-04-28 08:42:09,12130,7694.50000000,7695.00000000,184370
2020-04-28 08:42:19,25030,7694.50000000,7695.00000000,184370
2020-04-28 08:42:29,20330,7694.50000000,7695.00000000,184370
2020-04-28 08:42:39,19230,7694.50000000,7695.00000000,184370
2020-04-28 08:42:49,12730,7694.50000000,7695.00000000,184370
2020-04-28 08:42:59,8130,7694.50000000,7695.00000000,184970
2020-04-28 08:43:09,7180,7694.50000000,7695.00000000,184970
2020-04-28 08:43:19,11430,7694.50000000,7695.00000000,184970
2020-04-28 08:43:29,12280,7694.50000000,7695.00000000,184970
2020-04-28 08:43:39,9610,7694.50000000,7695.00000000,184970
2020-04-28 08:43:49,11210,7694.50000000,7695.00000000,184970
2020-04-28 08:43:59,15850,7694.50000000,7695.00000000,184970
2020-04-28 08:44:09,18950,7694.50000000,7695.00000000,184970
2020-04-28 08:44:19,14150,7694.50000000,7695.00000000,184970
2020-04-28 08:44:29,15950,7694.50000000,7695.00000000,174970
2020-04-28 08:44:39,9150,7694.50000000,7695.00000000,174970
2020-04-28 08:44:49,9150,7694.50000000,7695.00000000,174970
2020-04-28 08:44:59,6550,7694.50000000,7695.00000000,213440
2020-04-28 08:45:09,310,7694.50000000,7695.00000000,235530
2020-04-28 08:45:19,100,7693.00000000,7693.50000000,65200
2020-04-28 08:45:29,70,7693.00000000,7693.50000000,119080
2020-04-28 08:45:39,20,7692.00000000,7692.50000000,97960
2020-04-28 08:45:49,20,7692.00000000,7692.50000000,121940
2020-04-28 08:45:59,2020,7688.50000000,7689.50000000,60300
2020-04-28 08:46:09,28370,7686.50000000,7687.00000000,35850
2020-04-28 08:46:19,1720,7686.50000000,7687.00000000,600
2020-04-28 08:46:29,2460,7686.50000000,7687.00000000,94230
2020-04-28 08:46:39,1760,7686.50000000,7687.00000000,109600
2020-04-28 08:46:49,20660,7686.50000000,7687.00000000,55900
2020-04-28 08:46:59,12760,7686.50000000,7687.00000000,55900
2020-04-28 08:47:09,4520,7686.50000000,7687.00000000,56900
2020-04-28 08:47:19,7160,7686.50000000,7687.00000000,61900
2020-04-28 08:47:29,2530,7686.50000000,7687.00000000,62570
2020-04-28 08:47:39,830,7686.50000000,7687.00000000,64270
2020-04-28 08:47:49,70,7686.00000000,7686.50000000,91020
2020-04-28 08:47:59,9150,7684.00000000,7684.50000000,103860
2020-04-28 08:48:09,3350,7684.00000000,7684.50000000,103860
2020-04-28 08:48:19,1750,7684.00000000,7684.50000000,103860
2020-04-28 08:48:29,107680,7684.50000000,7685.00000000,70
2020-04-28 08:48:39,102980,7685.50000000,7686.00000000,70
2020-04-28 08:48:49,54410,7686.00000000,7686.50000000,14270
2020-04-28 08:48:59,60,7686.00000000,7686.50000000,47750
2020-04-28 08:49:09,18060,7686.00000000,7686.50000000,31520
2020-04-28 08:49:19,14760,7686.00000000,7686.50000000,33620
2020-04-28 08:49:29,32680,7686.00000000,7687.00000000,1090
2020-04-28 08:49:39,38860,7686.00000000,7686.50000000,6720
